routeCode,origin,destination,distanceKm
RT3969,RTM,WAW,1127
RT3970,KHH,SHA,963
RT3971,FCO,TLS,910
RT3972,LGW,BCN,1109
RT3973,ZAG,OTP,795
RT3974,ZRH,MUC,260
RT3975,FCO,NCE,459
RT3976,ORY,VCE,835
RT3977,MRS,PMI,478
RT3978,BRU,AMS,157
RT3979,EIN,STR,411
RT3980,BFS,STN,527
RT3981,OPO,FAO,474
RT3982,HAM,BGY,884
RT3983,BOD,FRA,905
RT3984,PRG,TIA,1053
RT3985,CDG,VCE,835
RT3986,BNA,PHL,1084
RT3987,IKA,DXB,1199
RT3988,TLL,VIE,1366
RT3989,SZG,MUC,109
RT3990,VIE,KBP,1067
RT3991,MAD,FRA,1419
RT3992,TUS,OAK,1201
RT3993,DUS,VLC,1427
RT3994,MCO,ATL,651
RT3995,ATH,KBP,1485
RT3996,KWI,BEY,1287
RT3997,BHX,MRS,1127
RT3998,FRA,LPL,866
RT3999,TLS,GLA,1422
RT4000,SOF,FRA,1397
RT4001,NTE,BHX,589
RT4002,SLC,TIJ,1018
RT4003,WAW,CDG,1342
RT4004,HKG,MNL,1145
RT4005,NTE,NCE,789
RT4006,SOF,MXP,1213
RT4007,ATH,OTP,758
RT4008,JFK,BOS,299
RT4009,WAW,STN,1413
RT4010,KMG,SZX,1139
RT4011,LHR,AMS,370
RT4012,ORY,BEG,1430
RT4013,BGY,CPH,1124
RT4014,ZAG,BER,759
RT4015,ORY,GLA,918
RT4016,LYS,FCO,721
RT4017,BNA,BWI,943
RT4018,SJC,BUR,476
RT4019,CLE,EWR,648
RT4020,DUB,LIN,1426
RT4021,HGH,TPE,578
RT4022,VIE,PRG,277
RT4023,BEG,MUC,760
RT4024,HEL,ARN,398
RT4025,BRU,CDG,251
RT4026,TXL,WAW,523
RT4027,BSL,WAW,1086
RT4028,CVG,IND,158
RT4029,TPA,RDU,946
RT4030,LGW,BFS,561
RT4031,BEG,SKG,525
RT4032,VIE,LYS,910
RT4033,LHR,OSL,1205
RT4034,BUD,BGY,755
RT4035,ORY,ZAG,1084
RT4036,MSP,BNA,1119
RT4037,BEY,TLV,210
RT4038,VIE,LTN,1277
RT4039,HGH,HKG,1093
RT4040,SJJ,BCN,1357
RT4041,OPO,MAN,1429
RT4042,PHL,LGA,153
RT4043,JFK,PHL,150
RT4044,JFK,BNA,1229
RT4045,RGN,PNH,1111
RT4046,CLT,CMH,558
RT4047,MEX,AUS,1204
RT4048,MAD,LIS,513
RT4049,BUD,FCO,836
RT4050,ORY,LTN,400
RT4051,LHR,BSL,719
RT4052,BGY,LJU,372
RT4053,AMS,WAW,1100
RT4054,ADL,SYD,1164
RT4055,LGW,BLQ,1126
RT4056,BEG,MSQ,1151
RT4057,LGW,NTE,456
RT4058,ZAG,SKP,612
RT4059,DEL,KHI,1066
RT4060,BCN,HAM,1492
RT4061,BNA,CMH,543
RT4062,RGN,SGN,1321
RT4063,KBP,LJU,1296
RT4064,KBP,TIA,1314
RT4065,OTP,SJJ,623
RT4066,SAW,SOF,528
RT4067,VCE,VIE,432
RT4068,NCE,LIN,256
RT4069,NTE,CDG,371
RT4070,LTN,EDI,493
RT4071,NAP,FRA,1110
RT4072,HEL,KBP,1169
RT4073,ALC,TLS,616
RT4074,ALC,OPO,767
RT4075,NAP,VLC,1262
RT4076,LYS,LIN,327
RT4077,LGW,BSL,684
RT4078,GVA,PRG,740
RT4079,GEG,RNO,920
RT4080,GLA,NTE,988
RT4081,GEG,YVR,451
RT4082,FRA,OTP,1449
RT4083,BLQ,HAM,1015
RT4084,RTM,RIX,1372
RT4085,STN,LGW,86
RT4086,ORY,BUD,1260
RT4087,LYS,VCE,565
RT4088,MCO,STL,1419
RT4089,LYS,MAD,910
RT4090,NAP,HAM,1453
RT4091,RTM,WAW,1127
RT4092,SKP,VNO,1434
RT4093,LPL,VCE,1397
RT4094,DXB,RUH,873
RT4095,SHA,SZX,1208
RT4096,CUN,KIN,1112
RT4097,AGP,TFS,1483
RT4098,VLC,ALG,448
RT4099,BGY,EDI,1460
RT4100,MSQ,CPH,1003
RT4101,BER,MSQ,982
RT4102,KRK,RTM,1091
RT4103,LGW,BUD,1463
RT4104,MCO,CLT,755
RT4105,NCL,BER,1040
RT4106,MXP,CPH,1144
RT4107,CLT,BOS,1170
RT4108,WAW,NAP,1353
RT4109,ZAG,SOF,675
RT4110,TXL,LED,1317
RT4111,LPL,DUS,691
RT4112,TXL,BER,25
RT4113,TUS,SAT,1224
RT4114,HYD,MAA,507
RT4115,IND,MSP,808
RT4116,CKG,PKX,1406
RT4117,SZG,ALG,1471
RT4118,BHX,PRG,1141
RT4119,VIE,BER,520
RT4120,AUH,BAH,452
RT4121,TLL,MUC,1492
RT4122,NCL,BOD,1137
RT4123,LJU,KBP,1296
RT4124,TIA,VIE,784
RT4125,LJU,SKP,742
RT4126,CVG,CMH,185
RT4127,RTM,OSL,1003
RT4128,FRA,BFS,1124
RT4129,BLQ,OTP,1170
RT4130,BNA,DFW,1014
RT4131,SNA,OAK,597
RT4132,ALG,CMN,1050
RT4133,ZRH,NCE,434
RT4134,PMI,LIN,845
RT4135,PIT,CVG,411
RT4136,GVA,SJJ,996
RT4137,VIE,ATH,1279
RT4138,ZRH,BEG,950
RT4139,HAN,KWL,620
RT4140,MXP,LYS,283
RT4141,FCO,SKG,909
RT4142,SZG,GLA,1490
RT4143,CDG,MRS,652
RT4144,OAK,SJC,47
RT4145,MXP,CTA,1049
RT4146,BER,TLS,1323
RT4147,SKG,ZRH,1384
RT4148,NAS,PUJ,1182
RT4149,PRG,LIN,637
RT4150,ZAG,TLS,1184
RT4151,CPH,LYS,1220
RT4152,WAW,PRG,521
RT4153,BOS,EWR,322
RT4154,CDG,TLS,605
RT4155,BAH,JED,1273
RT4156,BAH,DXB,487
RT4157,TLS,VIE,1275
RT4158,ZAG,VCE,290
RT4159,ELP,GDL,1291
RT4160,BOS,LGA,296
RT4161,AMM,TBS,1362
RT4162,KIX,HGH,1466
RT4163,KMG,RGN,1151
RT4164,OGG,HNL,161
RT4165,POA,CNF,1361
RT4166,PHL,YYZ,557
RT4167,MTY,MEX,713
RT4168,TXL,ZAG,784
RT4169,IAD,STL,1116
RT4170,RTM,GVA,647
RT4171,WAW,PRG,521
RT4172,AMS,BUD,1168
RT4173,SZX,CAN,98
RT4174,SIN,DMK,1444
RT4175,STN,CDG,359
RT4176,LGW,FRA,629
RT4177,PDX,YVR,403
RT4178,ALG,ORY,1340
RT4179,MRS,LTN,1026
RT4180,MAD,OPO,437
RT4181,BUD,LTN,1490
RT4182,BHX,BCN,1273
RT4183,LIS,CMN,616
RT4184,BSL,VIE,676
RT4185,ZAG,VIE,265
RT4186,SVO,KRK,1343
RT4187,SJJ,CDG,1336
RT4188,PRG,EIN,642
RT4189,FAO,LIS,220
RT4190,IAD,ATL,859
RT4191,WAW,RTM,1127
RT4192,CPH,STN,914
RT4193,NCL,CGN,751
RT4194,PMI,TIA,1448
RT4195,SOF,FCO,924
RT4196,LJU,LTN,1246
RT4197,TLS,PRG,1213
RT4198,BSL,LYS,279
RT4199,GVA,STN,759
RT4200,KBP,SZG,1330
RT4201,IST,BUD,1018
RT4202,OTP,BER,1266
RT4203,VNO,SOF,1334
RT4204,EWR,BWI,271
RT4205,SLC,DEN,627
RT4206,ZAG,SZG,326
RT4207,LTN,WAW,1455
RT4208,TIJ,LAS,427
RT4209,DUB,MUC,1381
RT4210,ZRH,PRG,510
RT4211,PRG,LED,1478
RT4212,BUD,ZAG,307
RT4213,CPH,WAW,665
RT4214,ARN,ZRH,1486
RT4215,IKA,EVN,792
RT4216,RIX,ZAG,1356
RT4217,SZX,HKG,38
RT4218,RDU,MIA,1130
RT4219,ZRH,LGW,754
RT4220,TLS,ALC,616
RT4221,CLE,TPA,1495
RT4222,NCE,GVA,299
RT4223,CTA,BCN,1192
RT4224,NAP,LJU,593
RT4225,OSL,RIX,828
RT4226,BCN,NTE,714
RT4227,SJJ,DUS,1198
RT4228,LJU,GVA,641
RT4229,BCN,GVA,637
RT4230,OTP,SKP,463
RT4231,BSL,LTN,740
RT4232,LJU,WAW,811
RT4233,ALC,LHR,1466
RT4234,CTA,BUD,1160
RT4235,BOD,TLS,212
RT4236,BLQ,BHX,1299
RT4237,SOF,BEG,343
RT4238,BCN,MUC,1094
RT4239,PIT,CMH,232
RT4240,SKP,VCE,842
RT4241,OTP,RIX,1381
RT4242,NCL,LIN,1318
RT4243,EZE,ASU,1069
RT4244,BCN,ORY,826
RT4245,BHX,ZRH,921
RT4246,IKA,RUH,1238
RT4247,ZAG,ATH,1084
RT4248,KRK,SJJ,703
RT4249,DUB,FRA,1086
RT4250,AMS,ARN,1151
RT4251,CDG,WAW,1342
RT4252,WAW,LHR,1469
RT4253,KWI,AMM,1180
RT4254,DEL,LHE,419
RT4255,JFK,BWI,295
RT4256,TLL,KBP,1079
RT4257,TUS,AUS,1279
RT4258,LTN,AMS,354
RT4259,SUB,CGK,691
RT4260,BOS,DCA,641
RT4261,CMH,RDU,582
RT4262,RNO,LAS,555
RT4263,XIY,KWL,1033
RT4264,HEL,PRG,1319
RT4265,OPO,MAD,437
RT4266,CAN,WUH,826
RT4267,BHX,BLQ,1299
RT4268,VIE,SOF,804
RT4269,PHX,BOI,1184
RT4270,BRU,LPL,568
RT4271,SZG,SOF,991
RT4272,MRS,VIE,1021
RT4273,KBP,ATH,1485
RT4274,BRU,RIX,1434
RT4275,TLS,RTM,953
RT4276,TLS,MAD,535
RT4277,DFW,MTY,845
RT4278,BCN,BRU,1083
RT4279,LGW,NCL,443
RT4280,BUD,RTM,1175
RT4281,LIN,ORY,637
RT4282,TXL,MSQ,990
RT4283,LTN,LYS,791
RT4284,LIN,BER,828
RT4285,BER,PRG,257
RT4286,TIA,STR,1153
RT4287,VTE,DAC,1420
RT4288,ALC,ORY,1184
RT4289,STR,HAM,551
RT4290,RIX,WAW,563
RT4291,BUD,BLQ,694
RT4292,LAS,TIJ,427
RT4293,LJU,BUD,389
RT4294,PHL,BOS,449
RT4295,ZRH,BFS,1302
RT4296,BCN,BHX,1273
RT4297,MUC,NTE,1009
RT4298,SSA,GIG,1217
RT4299,PRG,KBP,1181
RT4300,SOF,KRK,866
RT4301,BFS,MRS,1496
RT4302,ATL,LGA,1224
RT4303,MCO,PIT,1344
RT4304,VIE,BRS,1428
RT4305,ZAG,BOD,1314
RT4306,VIE,SKP,790
RT4307,PIT,PHL,429
RT4308,MCI,IND,723
RT4309,STN,DUS,455
RT4310,TXL,SKP,1333
RT4311,GVA,LGW,714
RT4312,NCE,RTM,944
RT4313,VCE,CGN,709
RT4314,YUL,BWI,740
RT4315,DUS,SZG,594
RT4316,EWR,CVG,912
RT4317,LIS,VLC,750
RT4318,TUS,PSP,552
RT4319,IAH,ATL,1107
RT4320,KBP,SKG,1253
RT4321,GVA,CPH,1138
RT4322,KRK,BGY,896
RT4323,DCA,CLE,498
RT4324,SKG,BUD,824
RT4325,CKG,SZX,1063
RT4326,MUC,NCL,1186
RT4327,STR,BUD,757
RT4328,LHR,BRS,157
RT4329,ONT,PHX,521
RT4330,NCE,AMS,978
RT4331,EIN,BER,566
RT4332,BRS,VIE,1428
RT4333,LTN,ORY,400
RT4334,KRK,CDG,1246
RT4335,BNA,AUS,1216
RT4336,KBP,SAW,1057
RT4337,VIE,PRG,277
RT4338,MEL,HBA,617
RT4339,DMK,BKK,29
RT4340,OTP,ZAG,795
RT4341,ZRH,MXP,203
RT4342,DUS,NCE,848
RT4343,SMF,OAK,121
RT4344,KBP,ATH,1485
RT4345,FOC,GMP,1456
RT4346,GEG,BOI,462
RT4347,AMM,ATH,1296
RT4348,BHX,PMI,1475
RT4349,TLL,DUS,1448
RT4350,OSL,LED,1062
RT4351,SAW,SOF,528
RT4352,ATH,ZAG,1084
RT4353,TPA,BNA,986
RT4354,CMH,JFK,775
RT4355,HAM,VIE,767
RT4356,BNA,MCO,993
RT4357,ZAG,BLQ,398
RT4358,DMK,HAN,980
RT4359,LPL,FRA,866
RT4360,PRG,HAM,489
RT4361,BSL,VNO,1459
RT4362,HAM,FRA,411
RT4363,ARN,MSQ,887
RT4364,XIY,PVG,1273
RT4365,RTM,PRG,716
RT4366,SAW,TBS,1308
RT4367,TXL,KBP,1241
RT4368,BSL,ALG,1262
RT4369,MXP,SZG,405
RT4370,HAM,WAW,753
RT4371,DEN,SLC,627
RT4372,SJJ,PMI,1376
RT4373,PHX,SAT,1353
RT4374,NTE,NCL,876
RT4375,REP,CAN,1493
RT4376,TIJ,LAX,205
RT4377,EIN,LHR,403
RT4378,ATH,AMM,1296
RT4379,CGN,VIE,745
RT4380,HAM,SZG,682
RT4381,BHX,BRU,462
RT4382,IST,ZAG,1135
RT4383,LPL,BGY,1240
RT4384,MTY,MSY,1074
RT4385,TPE,KWL,1126
RT4386,SLC,GEG,878
RT4387,RIX,OSL,828
RT4388,RTM,NAP,1441
RT4389,NAP,BCN,1023
RT4390,PSP,SLC,870
RT4391,SZG,BLQ,385
RT4392,BOI,YVR,821
RT4393,CPH,ZAG,1123
RT4394,CDG,LJU,943
RT4395,DUS,BSL,415
RT4396,LPL,BHX,122
RT4397,SKP,OTP,463
RT4398,BUD,CTA,1160
RT4399,ALG,ZAG,1469
RT4400,PMI,MUC,1215
RT4401,CPH,EIN,667
RT4402,DUS,TLL,1448
RT4403,CPH,RTM,675
RT4404,MRS,OPO,1166
RT4405,DMK,REP,350
RT4406,MUC,EDI,1329
RT4407,CLE,MCO,1444
RT4408,VIE,SOF,804
RT4409,OTP,TXL,1291
RT4410,LAX,ABQ,1087
RT4411,KHI,ISB,1115
RT4412,ATH,KBP,1485
RT4413,TIA,ZAG,563
RT4414,DCA,MCO,1223
RT4415,MUC,TIA,991
RT4416,PMI,CDG,1051
RT4417,AMS,BFS,771
RT4418,OTP,HER,1029
RT4419,ATH,LIN,1473
RT4420,LTN,MAN,208
RT4421,ATH,ZAG,1084
RT4422,DUB,MAD,1451
RT4423,MUC,PMI,1215
RT4424,KMG,CAN,1068
RT4425,CNF,BSB,590
RT4426,ALG,STR,1420
RT4427,SLC,OAK,944
RT4428,STN,LPL,263
RT4429,VTE,CKG,1368
RT4430,PRG,RTM,716
RT4431,BER,MUC,462
RT4432,AMS,SZG,772
RT4433,SOF,OTP,299
RT4434,KRK,RIX,809
RT4435,CLE,CVG,355
RT4436,NTE,LPL,692
RT4437,CNF,GRU,496
RT4438,ALC,AGP,390
RT4439,ALG,MUC,1472
RT4440,MUC,BCN,1094
RT4441,BSL,ZRH,78
RT4442,SGN,HKG,1493
RT4443,PRG,VNO,900
RT4444,MUC,BOD,1031
RT4445,KRK,VNO,629
RT4446,HEL,RIX,381
RT4447,VIE,MUC,355
RT4448,BNA,ATL,344
RT4449,BWI,LGA,297
RT4450,SHA,CAN,1175
RT4451,LPL,MAN,38
RT4452,CTA,TIA,593
RT4453,SJO,CUN,1260
RT4454,BOS,CLE,902
RT4455,ZAG,VIE,265
RT4456,TXL,LGW,936
RT4457,LAS,SFO,665
RT4458,LJU,BRU,898
RT4459,CAN,CSX,533
RT4460,GEG,SEA,358
RT4461,BER,WAW,508
RT4462,SJJ,OTP,623
RT4463,MSP,DFW,1372
RT4464,LYS,NCE,284
RT4465,FRA,NAP,1110
RT4466,PTY,BOG,755
RT4467,RDU,ATL,572
RT4468,IAH,MEX,1231
RT4469,CSX,SHA,852
RT4470,CLE,RDU,670
RT4471,GMP,FOC,1456
RT4472,BRU,LIN,702
RT4473,GVA,VLC,922
RT4474,FRA,CGN,136
RT4475,LIN,TIA,953
RT4476,GVA,SKP,1324
RT4477,SZG,TLS,1014
RT4478,PMI,LHR,1348
RT4479,SOF,BSL,1355
RT4480,BEG,DUS,1234
RT4481,IAD,PIT,292
RT4482,KRK,BUD,296
RT4483,WAW,HEL,939
RT4484,FRA,OTP,1449
RT4485,LGW,GVA,714
RT4486,ALG,CTA,1054
RT4487,BRS,BHX,136
RT4488,BEY,OTP,1441
RT4489,SHA,FOC,607
RT4490,LGW,ZRH,754
RT4491,STR,LYS,454
RT4492,BUD,OTP,615
RT4493,PRG,BFS,1472
RT4494,RNO,BOI,539
RT4495,BGY,OTP,1288
RT4496,MUC,BRU,596
RT4497,CPH,SJJ,1372
RT4498,EWR,DCA,318
RT4499,KRK,STR,779
RT4500,BRS,NCL,412
RT4501,SZG,DUS,594
RT4502,AUS,BNA,1216
RT4503,SJC,SFO,49
RT4504,ALC,VCE,1334
RT4505,CGN,KRK,897
RT4506,VNO,VIE,943
RT4507,PMI,BRU,1269
RT4508,PVG,KIX,1306
RT4509,KUL,BKK,1221
RT4510,BHX,EDI,402
RT4511,ALC,LGW,1431
RT4512,MCI,STL,381
RT4513,TXL,STN,891
RT4514,IND,BOS,1313
RT4515,CMN,TFS,1042
RT4516,DCA,BWI,48
RT4517,SOF,GVA,1425
RT4518,PRG,KRK,394
RT4519,NAP,RTM,1441
RT4520,TXL,CGN,463
RT4521,VIE,ARN,1286
RT4522,EIN,NCL,616
RT4523,BER,RTM,619
RT4524,CGO,CTU,1030
RT4525,OSL,BRU,1112
RT4526,LIN,TXL,843
RT4527,BUD,SOF,619
RT4528,ORD,LGA,1177
RT4529,PRG,CDG,852
RT4530,BOD,RTM,878
RT4531,BLQ,LPL,1417
RT4532,TLS,BLQ,798
RT4533,SEA,BOI,641
RT4534,LAX,SNA,58
RT4535,OAK,SAN,718
RT4536,BGY,LYS,359
RT4537,BOD,MXP,744
RT4538,LGA,PHL,153
RT4539,CGN,OSL,1066
RT4540,NCL,MRS,1382
RT4541,WAW,SJJ,947
RT4542,CDG,RTM,353
RT4543,BSL,MAN,943
RT4544,LTN,LJU,1246
RT4545,NCE,LHR,1040
RT4546,REC,FOR,627
RT4547,EWR,CLT,849
RT4548,VIE,LYS,910
RT4549,HGH,ICN,976
RT4550,CAN,CTU,1222
RT4551,VIE,CGN,745
RT4552,OAK,TUS,1201
RT4553,LGA,YUL,522
RT4554,LGW,ZAG,1337
RT4555,FRA,BUD,834
RT4556,LHR,FRA,653
RT4557,LIS,BOD,968
RT4558,CDG,NCL,730
RT4559,PMI,ALG,320
RT4560,HEL,DME,937
RT4561,NCL,HAM,772
RT4562,KRK,FRA,800
RT4563,ZRH,DUB,1238
RT4564,CPH,CGN,642
RT4565,BOS,CMH,1027
RT4566,CPH,LPL,1031
RT4567,BHX,STR,879
RT4568,LPL,LGW,302
RT4569,TIA,BGY,934
RT4570,YUL,JFK,537
RT4571,VVI,ASU,1024
RT4572,HAM,TXL,250
RT4573,LYS,BUD,1098
RT4574,MNL,DVO,963
RT4575,AUS,ELP,848
RT4576,CAN,HKG,136
RT4577,PHX,OAK,1038
RT4578,IST,KBP,1021
RT4579,LJU,BSL,547
RT4580,WAW,SKG,1303
RT4581,BUR,RNO,602
RT4582,BSL,BRU,429
RT4583,GIG,SSA,1217
RT4584,SEA,PDX,208
RT4585,ZRH,SOF,1278
RT4586,HKG,XIY,1440
RT4587,LGW,HAM,742
RT4588,SNA,PDX,1384
RT4589,OTP,BEG,457
RT4590,STL,BNA,436
RT4591,JED,BEY,1398
RT4592,ZAG,CDG,1079
RT4593,BUD,AMS,1168
RT4594,BER,BEG,976
RT4595,GLA,LYS,1308
RT4596,LYS,ORY,391
RT4597,NCE,VIE,875
RT4598,SLC,SJC,938
RT4599,STR,OTP,1363
RT4600,ATH,FCO,1086
RT4601,SLC,SAN,1008
RT4602,KRK,KBP,790
RT4603,GLA,BOD,1255
RT4604,MSY,MIA,1084
RT4605,BEG,GVA,1115
RT4606,ZAG,BRU,1029
RT4607,LPB,ASU,1472
RT4608,RTM,FCO,1273
RT4609,LJU,SAW,1332
RT4610,RUH,BEY,1464
RT4611,DMK,PNH,529
RT4612,VIE,SJJ,495
RT4613,STR,VCE,425
RT4614,DUB,BOD,1036
RT4615,KBP,IST,1021
RT4616,BUD,ARN,1361
RT4617,BUD,LJU,389
RT4618,IAH,IND,1359
RT4619,AMM,JED,1160
RT4620,BRS,PRG,1200
RT4621,MAA,BLR,267
RT4622,NAP,OTP,1045
RT4623,DUB,OSL,1291
RT4624,ACC,LOS,400
RT4625,LHR,LIN,980
RT4626,BNA,MSY,759
RT4627,ALG,MXP,1095
RT4628,SOF,FRA,1397
RT4629,DUB,TXL,1308
RT4630,BOD,EIN,863
RT4631,BER,ARN,854
RT4632,PRG,FCO,936
RT4633,SJO,UIO,1298
RT4634,RTM,LTN,329
RT4635,RTM,MAN,478
RT4636,JED,TLV,1224
RT4637,VIE,ARN,1286
RT4638,LJU,FCO,522
RT4639,CLE,BWI,504
RT4640,MXP,EIN,692
RT4641,TLS,SZG,1014
RT4642,PRG,SKG,1262
RT4643,KRK,ZAG,555
RT4644,OAK,BOI,823
RT4645,TXL,LHR,946
RT4646,STR,BER,508
RT4647,GLA,LGW,594
RT4648,ZRH,BGY,216
RT4649,BUD,BGY,755
RT4650,PVG,PKX,1050
RT4651,BKK,SGN,716
RT4652,LJU,EIN,881
RT4653,BOD,ZAG,1314
RT4654,HEL,OSL,763
RT4655,BNA,DCA,902
RT4656,BUD,CGN,958
RT4657,TIA,NCE,1053
RT4658,PRG,OTP,1080
RT4659,BUR,PDX,1316
RT4660,SOF,ZAG,675
RT4661,TLS,VIE,1275
RT4662,MSY,CLT,1047
RT4663,MCO,BNA,993
RT4664,LGW,VLC,1297
RT4665,LPL,LIN,1237
RT4666,TIA,VIE,784
RT4667,ELP,SAT,797
RT4668,EIN,PMI,1338
RT4669,SKG,BEY,1333
RT4670,WUH,SZX,906
RT4671,SVO,RIX,831
RT4672,BUD,BSL,879
RT4673,SNA,LAS,364
RT4674,HKG,CTU,1351
RT4675,KIN,NAS,792
RT4676,HER,OTP,1029
RT4677,BUD,SZG,470
RT4678,KIX,GMP,835
RT4679,ZAG,MUC,435
RT4680,SOF,SJJ,429
RT4681,SZX,XIY,1402
RT4682,PRG,OTP,1080
RT4683,SZG,LHR,1050
RT4684,ZRH,ALG,1275
RT4685,CDG,MXP,598
RT4686,SZG,TIA,885
RT4687,NAP,BOD,1297
RT4688,SZX,HGH,1070
RT4689,HNL,ITO,348
RT4690,CVG,BNA,370
RT4691,LGW,GLA,594
RT4692,DPS,CGK,982
RT4693,BSL,TLS,650
RT4694,STN,GVA,759
RT4695,LHR,CDG,346
RT4696,AMS,BCN,1241
RT4697,ORY,LYS,391
RT4698,KWI,TBS,1409
RT4699,BKK,SIN,1416
RT4700,SEA,SFO,1092
RT4701,KBP,BUD,909
RT4702,IAD,TPA,1307
RT4703,MAD,VCE,1406
RT4704,DUB,LTN,433
RT4705,SVO,SVX,1436
RT4706,VIE,BEG,464
RT4707,MSP,IAD,1458
RT4708,BHX,TXL,1015
RT4709,STR,BOD,869
RT4710,SHA,CKG,1416
RT4711,AUS,MSY,713
RT4712,BOD,BCN,453
RT4713,ABQ,AUS,994
RT4714,SZG,WAW,747
RT4715,GLA,LHR,554
RT4716,BLQ,VIE,567
RT4717,MIA,ATL,959
RT4718,JFK,BOS,299
RT4719,PEK,GMP,926
RT4720,FCO,WAW,1327
RT4721,TLS,BGY,697
RT4722,CTU,PBH,1454
RT4723,BOD,OPO,759
RT4724,NAS,CUN,1060
RT4725,BCN,LIN,741
RT4726,PHL,JFK,150
RT4727,MXP,MRS,370
RT4728,KWL,CAN,387
RT4729,BUD,LHR,1488
RT4730,BNA,YYZ,1032
RT4731,BNA,PIT,742
RT4732,VCE,CPH,1124
RT4733,KRK,WAW,246
RT4734,MCI,ABQ,1154
RT4735,ONT,TIJ,178
RT4736,MXP,NAP,693
RT4737,OSL,WAW,1079
RT4738,SMF,PDX,770
RT4739,VIE,OTP,828
RT4740,IAD,PHL,216
RT4741,EDI,RTM,675
RT4742,ORY,BSL,403
RT4743,SJJ,MRS,1055
RT4744,NTE,EDI,985
RT4745,ORY,CDG,34
RT4746,VLC,BOD,593
RT4747,ABQ,LAS,781
RT4748,GVA,KRK,1098
RT4749,FRA,MXP,490
RT4750,CGN,PRG,510
RT4751,LJU,DUS,796
RT4752,JFK,LGA,17
RT4753,YYZ,MSP,1089
RT4754,CMH,IND,292
RT4755,DFW,CMH,1488
RT4756,OTP,FRA,1449
RT4757,BHX,VIE,1383
RT4758,OPO,BSL,1464
RT4759,CDG,BUD,1247
RT4760,TXL,VIE,546
RT4761,ZAG,PMI,1286
RT4762,WAW,ORY,1367
RT4763,SZG,ORY,793
RT4764,MXP,BHX,1074
RT4765,NAS,ATL,1169
RT4766,CDG,FRA,448
RT4767,STN,NTE,542
RT4768,NCE,CGN,800
RT4769,CUN,MTY,1448
RT4770,NCL,STR,1027
RT4771,KWI,RUH,491
RT4772,BCN,LPL,1388
RT4773,MSQ,VCE,1457
RT4774,MRS,BGY,434
RT4775,RIX,DME,877
RT4776,PRG,TLL,1234
RT4777,VIE,ATH,1279
RT4778,BSL,BRS,850
RT4779,CGN,BCN,1132
RT4780,CAI,HER,821
RT4781,BSL,CGN,365
RT4782,HAM,OSL,732
RT4783,CDG,NAP,1289
RT4784,MAD,ALC,357
RT4785,TXL,CPH,342
RT4786,FRA,LIN,513
RT4787,SOF,IST,468
RT4788,TLS,BSL,650
RT4789,KRK,LIN,937
RT4790,TFS,FAO,1281
RT4791,LJU,ZAG,135
RT4792,SGN,BWN,1121
RT4793,SIN,BKK,1416
RT4794,PRG,BRU,696
RT4795,EDI,LYS,1280
RT4796,OTP,KBP,736
RT4797,VNO,WAW,396
RT4798,MCI,RDU,1451
RT4799,SZX,SHA,1208
RT4800,VIE,BGY,587
RT4801,BRS,VLC,1333
RT4802,MXP,DUS,645
RT4803,SIN,REP,1339
RT4804,HKG,CGO,1357
RT4805,PDX,OAK,875
RT4806,ZAG,TIA,563
RT4807,BCN,CGN,1132
RT4808,OTP,VCE,1082
RT4809,LYS,AGP,1284
RT4810,EIN,MXP,692
RT4811,BSL,SKG,1459
RT4812,ATH,BUD,1123
RT4813,GLA,EDI,67
RT4814,BCN,ALC,404
RT4815,CDG,OPO,1231
RT4816,BLQ,OTP,1170
RT4817,SLC,MCI,1476
RT4818,GIG,ASU,1473
RT4819,LAX,PDX,1343
RT4820,CGN,MXP,593
RT4821,BWN,PNH,1329
RT4822,BUD,PRG,470
RT4823,CTA,LYS,1236
RT4824,OTP,MSQ,1044
RT4825,STN,VLC,1379
RT4826,NRT,VVO,1098
RT4827,OTP,IST,425
RT4828,XIY,HAN,1499
RT4829,LGA,BOS,296
RT4830,PNH,HAN,1079
RT4831,ZAG,MRS,896
RT4832,DAC,DEL,1425
RT4833,ZRH,OTP,1387
RT4834,HEL,HAM,1168
RT4835,BER,BOD,1336
RT4836,HER,ATH,308
RT4837,MUC,RTM,658
RT4838,MSQ,OTP,1044
RT4839,BGY,SZG,344
RT4840,UPG,DPS,634
RT4841,SJC,SEA,1122
RT4842,ARN,LPL,1446
RT4843,PBH,DAC,407
RT4844,TXL,STR,516
RT4845,PRG,LJU,431
RT4846,CLT,LGA,874
RT4847,BEG,MRS,1212
RT4848,HEL,KBP,1169
RT4849,YVR,GEG,451
RT4850,BHX,GLA,418
RT4851,GVA,LIN,260
RT4852,PHX,ELP,557
RT4853,MAD,LIN,1179
RT4854,IST,WAW,1346
RT4855,RIX,AMS,1332
RT4856,CPT,WDH,1282
RT4857,BSL,FCO,743
RT4858,MXP,RTM,770
RT4859,LPL,NCE,1303
RT4860,TLS,ZRH,703
RT4861,CTU,KMG,617
RT4862,LTN,PMI,1390
RT4863,WAW,OTP,924
RT4864,DEN,STL,1236
RT4865,AMS,BEG,1410
RT4866,TXL,EIN,555
RT4867,ACC,ABJ,417
RT4868,EWR,PHL,128
RT4869,LHR,NCE,1040
RT4870,KBP,DME,733
RT4871,DUB,LHR,449
RT4872,SOF,SKG,244
